序号	提交答卷时间	所用时间	来源	来源详情	来自IP	1、1950年世界上人口最多的城市是	2、你认为其他人对上题的答案可能是（如有多个请用逗号隔开）	3、哥伦比亚大学位于哪个城市	4、你认为其他人对上题的答案可能是（如有多个请用逗号隔开）	5、哈佛大学位于哪个城市	6、你认为其他人对上题的答案可能是（如有多个请用逗号隔开）	7、右图是哪个美国漫画中的超级英雄的标志	8、你认为其他人对上题的答案可能是（如有多个请用逗号隔开）	9、右图是哪个美国漫画中的超级英雄的标志	10、你认为其他人对上题的答案可能是（如有多个请用逗号隔开）	11、福尔摩斯的助手叫什么	12、你认为其他人对上题的答案可能是（如有多个请用逗号隔开）	13、蝙蝠侠的助手叫什么	14、你认为其他人对上题的答案可能是（如有多个请用逗号隔开）	15、右图是哪个国家的国旗	"16、你认为其他人可能回答的答案是（如果有多个请用逗号隔开）"	17、澳大利亚的首都是哪个城市	18、你认为其他人对上题的答案可能是（如有多个请用逗号隔开）	19、著名音乐家肖邦是哪国人	20、你认为其他人对上题的答案可能是（如有多个请用逗号隔开）	21、1984年夏季奥运会在哪个城市举办	22、你认为其他人对上题的答案可能是（如有多个请用逗号隔开）	23、世界七大奇迹之一的亚历山大灯塔位于哪个国家	24、你认为其他人对上题的答案可能是（如有多个请用逗号隔开）	25、世界七大奇迹之一的空中花园位于哪个国家	26、你认为其他人对上题的答案可能是（如有多个请用逗号隔开）
182	N/A	N/A	N/A	N/A	N/A	俄罗斯	都不会	恶魔	不会	Cambridge	Cambridge	不知道	都不懂	CaptainAmerica	都知道	福尔摩手	不懂	Robin	Robin	不懂	不懂	不懂	不懂	UK	都懂	加州	加州	不懂	不懂	不懂	不懂
183	N/A	N/A	N/A	N/A	N/A	China	China	NewYork	NewYork	英国	US	银河维	银河维	CaptainAmerica	CaptainAmerica	Watson	Watson	没看过蝙蝠侠	看过的人应该知道	也门	也门	Canberra	Canberra	Poland	Poland	法国	不清楚	Egypt	Egypt	Babylon	Babylon
184	N/A	N/A	N/A	N/A	N/A	China	Peking,Shanghai	澳大利亚	US	Cambridge	Cambridge	不清楚	不清楚	超人	CaptainAmerica	柯南	柯南	不清楚	不清楚	Italy	法国,US	Canberra	澳大利亚首都堪培拉	US	UK	Peking	南京,Peking	US	日本	中国	US
185	N/A	N/A	N/A	N/A	N/A	汕头	Peking,南京	NewYork	NewYork	英国	基本都答的对	猎豹	不知道	CaptainAmerica	CaptainAmerica	Watson	Watson	Robin	刚	加拿大	俄罗斯	Canberra	Canberra	Poland	US	不清楚	应该都不知道	不知道	不知道	不知道	不知道
186	N/A	N/A	N/A	N/A	N/A	China	可能答对	Columbia	应该答不对	Boston	NewYork,悉尼	这个不是很清楚	应该都不知道	CaptainAmerica	都认识	不清楚	应该都不清楚	Alfred	Alfred	不认识,,这方面不是很懂	应该大部分人不知道	肯培根	大部分人不知道	Poland	一般人不知道	Athens	希腊	美国吗？	应该都不知道	好像也是美国	应该都不知道
187	N/A	N/A	N/A	N/A	N/A	NewYork	Peking,广州	NewYork	Washington	US	英国	不清楚	不清楚	美国对象	复仇者	不清楚	不清楚	Robin	Robin	雅典	希腊	Canberra	Melbourne	UK	US	LosAngeles	中国	不清楚	不清楚	Babylon	埃及
188	N/A	N/A	N/A	N/A	N/A	China	俄罗斯	US	英国	Washington	NewYork	海王	超人	CaptainAmerica	超人	Watson	华伟	Robin	Robin	波兰	US	Canberra	快乐	Poland	中国	LosAngeles	LosAngeles	Egypt	中国	Babylon	中国
189	N/A	N/A	N/A	N/A	N/A	Peking	Shanghai	NewYork	London	Cambridge	多伦多	超人	蜘蛛侠	CaptainAmerica	CaptainAmerica	啦啦	阿九	Alfred	Robin	匈牙利	荷兰	Canberra	Canberra	Austria	Austria	LosAngeles	LosAngeles	Egypt	Egypt	Iraq	Iraq
190	N/A	N/A	N/A	N/A	N/A	US	法国	多伦多	墨尔本	Cambridge	US	大力手水	喜洋洋	佐罗	奥特曼	Watson	挽回	Robin	Robin	Austria	泰国	Canberra	Sydney	Poland	Poland	LosAngeles	LosAngeles	埃弗顿	爱儿美	埃尔门	第二梦
191	N/A	N/A	N/A	N/A	N/A	Tokyo	日本	NewYork	US	Boston	休斯顿	奇异博士	法师	CaptainAmerica	CaptainAmerica	Watson	Watson	不知道	爸爸	印度尼西亚	印度	Canberra	Canberra	Poland	Poland	LosAngeles	圣迭戈	Egypt	Egypt	Babylon	Babylon
192	N/A	N/A	N/A	N/A	N/A	Tokyo	NewYork,London	NewYork	洛杉矶	Cambridge	US	GreenLantern	Arrow	CaptainAmerica	猎鹰	约翰华生	夏洛特	不知道	不知道	挪威	瑞典	Canberra	Melbourne	Germany	France	LosAngeles	LosAngeles	Egypt	意大利	Iraq	哥伦比亚
193	N/A	N/A	N/A	N/A	N/A	Tokyo	Tokyo	NewYork	US	66666	666666	Batman	神奇女侠	CaptainAmerica	CaptainAmerica	Watson	Watson	不知道	不知道	波兰	波兰	Canberra	Canberra	Poland	Poland	6	6	Egypt	Egypt	Iraq	Iraq
194	N/A	N/A	N/A	N/A	N/A	6666	66666	66666	666666	哈哈	李	66666	666666	66666	666666	6666	666	Alfred	猫女	6	6	6	6	6	6	哈哈	哈哈	6	6	刚刚	同一个
195	N/A	N/A	N/A	N/A	N/A	哈哈哈哈	李白	乔恩	哈哈	1	1	哈哈	哈哈	哈哈	哈哈	11	哈哈	蝙蝠侠	蝙蝠侠	口令	口令	Sydney	哈哈	哈哈	哈哈	1	1	哈哈	哈哈	印度	印度
196	N/A	N/A	N/A	N/A	N/A	1	1	1	1	US	US	1	1	1	1	1	1	密码	密码	1	1	1	1	1	1	还打不打	那男女	1	1	US	不知道
197	N/A	N/A	N/A	N/A	N/A	China	China	英国	英国	7537	7537	威廉	威廉	超级英雄	就是计算机	就是计算机	是男是女	刘备	张峰	日本	日本	单男	补习班	应该	好好说话	7227	7272	啥时候	升级呢	泰国	France
198	N/A	N/A	N/A	N/A	N/A	673	7667	7637	7572	北京	湖北	737	2727	7237	7272	7237	7227	Robin	Robin	7527	7227	3737	7327	7272	7227	发广告	听回放	7272	7227	UK	UK
199	N/A	N/A	N/A	N/A	N/A	Shanghai	Peking,天津	北京	上海	US	US	蜘蛛侠	超级英雄	不知道	不知道	不太清楚	不知道	Alfred	Alfred	US	中国	八点多	汉堡包	不能做	嘎嘎嘎	希腊	希腊	嘎嘎嘎	嘎嘎嘎	应该	异地会
200	N/A	N/A	N/A	N/A	N/A	US	法国,China,印度	法国	英国,US	US	不知道	不认识	不认识	CaptainAmerica	CaptainAmerica	不知道	不知道	不知道	比较少	瑞典	不知道	Sydney	Sydney	France	France	Peking	不你个安	俄罗斯	俄罗斯	俄国	苏联
201	N/A	N/A	N/A	N/A	N/A	US	不知道	US	不知道	NewYork	洛杉矶	美国	不知道	美国	不知道	不知道	不知道	Alfred	Robin	哥伦比亚	不知道	Sydney	不知道	UK	不知道	US	英国	日本	不知道	不	不知道
202	N/A	N/A	N/A	N/A	N/A	河南	Peking	澳大利亚	洛杉矶	NewYork	Washington	Batman	美国队长	CaptainAmerica	蜘蛛侠	奎恩	恶灵骑士	Robin	不知道	US	UK	Canberra	奥地利	UK	France	中国	中国	Greece	印度	Babylon	Babylon
203	N/A	N/A	N/A	N/A	N/A	China	一样	澳大利亚	US	北京	Peking	不知道	不知道	超级英雄	超级英雄	福尔摩斯	福尔摩斯	Robin	无	澳大利亚	澳大利亚	首尔	首尔	US	US	行了	异地恋	日本	日本	哥伦比亚	历史书上有
204	N/A	N/A	N/A	N/A	N/A	Peking	Peking	北京	Peking	东辛庄	西辛庄	漫威	漫威	CaptainAmerica	CaptainAmerica	密码	密码	Alfred	啊莫	赢过	性格	暗流	暗流	应该	异地恋	Tokyo	Peking	异地恋	写了	这个也不知道	不知道
205	N/A	N/A	N/A	N/A	N/A	Peking	Shanghai	旧金山	北海道	US	US	漫威	漫威	CaptainAmerica	绿巨人	小田	小狗	罗宾汉	罗宾汉	澳大利亚	菲律宾	密西西比	飞韩	US	Germany	不知道	不知道	Alexandria	Alexandria	Iraq	200
206	N/A	N/A	N/A	N/A	N/A	China	China	不晓得	不晓得	US	US	不知道	不知道	Marvel	Marvel	Watson	Watson	Robin	无	不知道	不知道	不知道	不记得	France	France	Tokyo	不知道	不知道	不知道	France	丹麦
207	N/A	N/A	N/A	N/A	N/A	China	US	英国	英国	Boston	比较少	超级英雄	不知道	CaptainAmerica	CaptainAmerica	不知道	不知道	Robin	Robin	不知道	不知道	Canberra	Canberra	Poland	Poland	不知道	很少人知道	Egypt	Egypt	US	France
208	N/A	N/A	N/A	N/A	N/A	NewYork	知道	NewYork	很多人	Cambridge	剑桥啊这么简单	Hulk	知道	CaptainAmerica	很多	Watson	看过的知道	二狗	三狗	不知道	很少人知道	Sydney	学过地理就知道	Poland	初中必考	加州	这个得百度了	马其顿	不知道	不知道	不知道
209	N/A	N/A	N/A	N/A	N/A	China	印度	纽约州	多伦多	Cambridge	15	Hulk	Hulk	CaptainAmerica	CaptainAmerica	约翰·H·华生	这个很那,应该不知道	不知道	不知道	不知道。。	这个不知道	Canberra	不知道	Poland	UK	LosAngeles	50	不知道。。	不知道	Babylon	无
210	N/A	N/A	N/A	N/A	N/A	意大利	20	圣菲波哥大	50	Cambridge	NewYork	不知道	50	超人	100	Watson	28	不造	不造	澳大利亚	20	Canberra	100	Poland	20	London	NewYork	不知道	200	Babylon	Babylon
211	N/A	N/A	N/A	N/A	N/A	Tokyo	河南,非洲	NewYork	芝加哥	Boston	凤凰城	福尔摩斯	无	蝙蝠侠	无	Watson	无	Alfred	Alfred	土耳其	哈萨克斯坦	Sydney	Canberra	UK	France	Tokyo	西班牙	US	UK	US	中国
212	N/A	N/A	N/A	N/A	N/A	Shanghai	武汉	NewYork	Columbia	Cambridge	US	超人	特警	CaptainAmerica	美国大兵	约翰,H,华生	福尔马林	不知道	不知道	瑞典	瑞士	Canberra	美内部	UK	France	LosAngeles	LosAngeles	US	France	Iraq	叙利亚,黎巴嫩,土耳其
213	N/A	N/A	N/A	N/A	N/A	Tokyo	US,英国	NewYork	NewYork	Boston	US	第一个	第二个	第二个	第二个	Watson	Watson	Alfred	Alfred,罗宾逊	德国	德国	Canberra	Canberra	Poland	France	LosAngeles	无	不知道	不知道	Babylon	不造
214	N/A	N/A	N/A	N/A	N/A	China	无	NewYork	无	Cambridge	伦敦	钢铁侠	无	CaptainAmerica	无	约翰华生	无	华生,花生,柯南	不知道	澳大利亚	无	Canberra	无	Poland	无	LosAngeles	LosAngeles	Egypt	无	意大利	意大利
215	N/A	N/A	N/A	N/A	N/A	Peking	河南,US	NewYork	US,英国	US	日本	美国队长	Hulk	CaptainAmerica	CaptainAmerica	Watson	Watson	哈？	哈？	俄罗斯	法国	Canberra	Canberra	Poland	Poland	德国	法国	Egypt	Egypt	迪拜	不知道
216	N/A	N/A	N/A	N/A	N/A	China	印度,China	迈阿密	非洲	不知道	NewYork,Boston,费城	GreenLantern	钢铁侠	CaptainAmerica	Ironman	Watson	花生	不知道	不知道	叙利亚	日本	北京	东京	France	UK	汉城	莫斯科	US	中国	叙利亚	叙利亚,不知道
217	N/A	N/A	N/A	N/A	N/A	Shanghai	London,巴黎,NewYork	NewYork	波哥大（？	Boston	不造	GreenLantern	不知道	CaptainAmerica	不知道	Watson	不知道	不知道	不知道	Latvia	立陶宛,爱沙尼亚	Canberra	Sydney,珀斯,达尔文	Poland	Austria,Germany	LA	莫斯科	Egypt	不知道	不知道	Iran
218	N/A	N/A	N/A	N/A	N/A	NewYork	London	NewYork	Columbia	Cambridge	Cambridge	不造	不造	CaptainAmerica	不造	Watson	不造	不知道	不知道	不造	不造	Canberra	Sydney	Poland	Austria	Tokyo	Tokyo	Egypt	不造	US	US,UK,意大利
219	N/A	N/A	N/A	N/A	N/A	Tokyo	NewYork	Washington	Columbia	Cambridge	Cambridge	GreenLantern	Arrow	CaptainAmerica	CaptainAmerica	Watson	Watson	不知道	不知道	印度尼西亚	印度尼西亚	Canberra	Sydney	Poland	Germany	不知道	不知道	US	US	Babylon	印度
220	N/A	N/A	N/A	N/A	N/A	London	Peking,Shanghai,NewYork,London,巴黎	NewYork	NewYork	Boston	Boston	Hulk	Hulk	CaptainAmerica	CaptainAmerica	Watson	Watson	不知道	不知道	不知道	不知道	Canberra	Canberra,Melbourne	Germany	不知道	LosAngeles	LosAngeles,慕尼黑	不知道	不知道	不知道	不知道
221	N/A	N/A	N/A	N/A	N/A	NewYork	NewYork	NewYork	NewYork,华盛顿特区	NewYork	Boston	不知道	超人,蜘蛛侠	CaptainAmerica	CaptainAmerica	Watson	Watson	不知道	不知道	不知道	不知道	Canberra	Sydney	Austria	Germany,Austria	波兰,德国,法国	LosAngeles	Egypt	Egypt,土耳其	Iraq	土耳其
222	N/A	N/A	N/A	N/A	N/A	223.72.68.10(北京-北京)	Bombay	孟买,新德里,北京	NewYork	NewYork	NewYork,Washington	波士顿,剑桥	不知道	不知道	CaptainAmerica	美国队长	Watson	不知道	超人	不知道	不知道	利比亚,一些非洲国家	Canberra	堪培拉,悉尼,墨尔本	Poland	London	London,NewYork,巴黎,没举办	洛杉矶,东京	不知道	Iraq	Iraq,不知道
223	N/A	N/A	N/A	N/A	N/A	China	China	Columbia	Columbia	Boston	NewYork	哈？	哈？	CaptainAmerica	CaptainAmerica	哈？	哈？	不知道	丹麦	哈？	哈？	Melbourne	Melbourne	Germany	Germany,UK,瑞典,瑞士,意大利	Athens	Tokyo	UK	UK,US,澳大利亚	荷兰	不知道
224	N/A	N/A	N/A	N/A	N/A	NewYork	Tokyo,Shanghai	NewYork	Columbia	NewYork	Washington	Arrow	Hulk	CaptainAmerica	不知道	Watson	狄仁杰	不知道	不知道	塞拉维亚	不知道	Canberra	Sydney	Germany	Austria	Athens	不知道	Egypt	Greece	Babylon	Babylon
225	N/A	N/A	N/A	N/A	N/A	London	NewYork,Peking	NewYork	Washington	马萨诸塞	NewYork	不知道	不知道	Ironman	不知道	Watson	不知道	Alfred	Alfred	芬兰	不知道	Canberra	Sydney	Poland	UK	不知道	不知道	不知道	不知道	Babylon	Babylon
226	N/A	N/A	N/A	N/A	N/A	Peking	Shanghai	NewYork	Columbia	Boston	Boston	Hulk	Arrow	CaptainAmerica	CaptainAmerica	Watson	柯南	Robin	不知道	不知道	不知道	Canberra	Sydney,Melbourne	Poland	不知道	LosAngeles	不知道,LosAngeles	Egypt	不知道	Babylon	不知道
227	N/A	N/A	N/A	N/A	N/A	不知道	不知道	NewYork	NewYork	不知道	不知道	不知道	不知道	CaptainAmerica	CaptainAmerica,超人	Watson	Watson	不知道	不知道	不知道	不知道	Canberra	Canberra,Sydney	Poland	Poland,不知道	不知道	不知道	Egypt	Egypt,不知道	Babylon	Babylon
228	N/A	N/A	N/A	N/A	N/A	芝加哥	London	Columbia	Columbia	Cambridge	Boston	不知道	不知道	Marvel	复仇者联盟	Watson	Watson	不知道	不知道	不知道	不知道	Sydney	Melbourne	UK	Denmark	不知道	不知道	UK	不知道	Iraq	Iraq,Iran
229	N/A	N/A	N/A	N/A	N/A	不知道	不知道	NewYork	NewYork	NewYork	Washington	不知道	不知道	CaptainAmerica	CaptainAmerica	Watson	Watson	无	不知道	Latvia	很多	Sydney	Sydney,Melbourne	Germany	很多	罗马	Athens	不知道	不知道	不知道	不知道
230	N/A	N/A	N/A	N/A	N/A	London	南京	Washington	Columbia	不知道	Washington	不知道	雷神	CaptainAmerica	CaptainAmerica	不知道	不知道	不知道	不知道	不知道	不知道	Canberra	Sydney	Germany	Denmark	Athens	Athens	Egypt	罗马	不知道	France
231	N/A	N/A	N/A	N/A	N/A	London	巴黎,Tokyo,阿姆斯特丹	不知道	NewYork	Boston	Boston	不知道	不知道	CaptainAmerica	美国队长美国队长	Watson	Watson	不知道	不知道	荷兰	不知道	Melbourne	Melbourne	Germany	Austria	LosAngeles	LosAngeles	不知道	西班牙	不知道	不知道
232	N/A	N/A	N/A	N/A	N/A	Tokyo	Tokyo	NewYork	NewYork	Boston	Boston,伦敦,NewYork	Hulk	Hulk	CaptainAmerica	CaptainAmerica	Watson	Watson	黑格尔	蝙蝠仔	不知道	不知道	Canberra	Canberra,澳大利亚	Poland	Poland	亚特兰蒂斯	亚特兰蒂斯,悉尼	Egypt	Egypt	不知道	France
233	N/A	N/A	N/A	N/A	N/A	London	London,NewYork,Tokyo	波士顿	波士顿,NewYork	NewYork	不知道	GreenLantern	GreenLantern,Arrow	CaptainAmerica	队长,超人	Watson	Watson,花生,医生	不知道	不知道	Austria	Austria,印度尼西亚,波兰	Melbourne	Melbourne,Sydney	Austria	Austria,Germany	LosAngeles	不知道	土耳其	土耳其,Egypt	不知道	不知道
234	N/A	N/A	N/A	N/A	N/A	不知道	不知道	不知道	Columbia	不知道	NewYork,Washington,伦敦	GreenLantern	Arrow	CaptainAmerica	CaptainAmerica	Watson	Watson	不知道	不知道	不知道	不知道	Canberra	Melbourne	Germany	UK	不知道	希腊,日本	不知道	不知道	Babylon	Babylon
235	N/A	N/A	N/A	N/A	N/A	NewYork	NewYork	不知道	墨西哥	Cambridge	不知道	不知道	Hulk	CaptainAmerica	CaptainAmerica	Watson	Watson,盲生	不知道	猜不到	不知道	冰岛,挪威,瑞士	Canberra	Canberra,Sydney	不知道	France,Germany,UK	LosAngeles	LosAngeles,不知道	不知道	不知道	意大利	意大利
236	N/A	N/A	N/A	N/A	N/A	不知道	不知道	NewYork	NewYork,Columbia	不知道	不知道	不知道	不知道	CaptainAmerica	CaptainAmerica	Watson	Watson,不知道	Robin	Robin,猫女	不知道	不知道	Sydney	Sydney,不知道	不知道	不知道	不知道	Athens	不知道	不知道	Babylon	不知道
237	N/A	N/A	N/A	N/A	N/A	不知道	不知道	不知道	不知道	Boston	NewYork,旧金山,伦敦	不知道	不知道	CaptainAmerica	Marvel	不知道	花生	不知道	不知道	不知道	利比亚	Sydney	不知道	France	UK	LosAngeles	朝鲜,Atlanta	不知道	印度	叙利亚	不知道
238	N/A	N/A	N/A	N/A	N/A	Tokyo	NewYork,London,柏林	NewYork	旧金山	Washington	Washington	不知道	蜘蛛侠	CaptainAmerica	蜘蛛侠,超人	Watson	不知道	不知道	不知道	不知道	德国,丹麦	Canberra	Melbourne	Poland	雅典	Atlanta	NewYork,费城	不知道	不知道	Iran	埃及
239	N/A	N/A	N/A	N/A	N/A	NewYork	London,华盛顿	不知道	Washington,NewYork	Cambridge	纽黑文	GreenLantern	不知道	CaptainAmerica	CaptainAmerica	Watson	花生	Alfred	Alfred,卢修斯,猫女	不知道	不知道	Canberra	Sydney,Canberra	Poland	Poland	LosAngeles	莫斯科	Greece	Greece	Babylon	Iraq
240	N/A	N/A	N/A	N/A	N/A	Tokyo	Peking	NewYork	Columbia	凤凰城	不知道	铜圈	钢铁侠	CaptainAmerica	CaptainAmerica	Watson	Watson	Alfred	不知道	马其顿	波兰	Melbourne	Sydney	Germany	Austria	Tokyo	Tokyo	意大利	Egypt	Babylon	Babylon
241	N/A	N/A	N/A	N/A	N/A	Tokyo	London,NewYork,Shanghai,Tokyo	不知道	不知道	不知道	不知道	GreenLantern	不知道	CaptainAmerica	CaptainAmerica	忘了	。。	不知道	不知道	Latvia	不知道	Canberra	Canberra	Austria	Austria,Germany	不知道	不知道	巴西	葡萄牙	Iraq	Iraq,Babylon
242	N/A	N/A	N/A	N/A	N/A	China	US	Washington	不知道	Boston	Boston	不知道	不知道	CaptainAmerica	Ironman	Watson	不知道	不知道	不知道	不知道	不知道	Canberra	Sydney,Melbourne	Germany	UK,意大利	Athens	Athens	不知道	不知道	Iran	Iran,Iraq
243	N/A	N/A	N/A	N/A	N/A	London	Peking	NewYork	NewYork	不知道	Boston,费城,Cambridge	超人	超人	CaptainAmerica	CaptainAmerica	Watson	Watson	Robin	猫女	Austria	猜的	Canberra	Sydney	Germany	Germany	不知道	Athens	Greece	Greece	Babylon	不知道
244	N/A	N/A	N/A	N/A	N/A	不知道	Peking,Tokyo,NewYork	NewYork	NewYork	Boston	Boston,Harvard	不知道	不知道	CaptainAmerica	CaptainAmerica	Watson	Watson	Robin	Robin	不知道	不知道	Melbourne	Melbourne,Sydney,珀斯	Germany	Germany,France,Austria,Poland	不知道	不知道	不知道	阿根廷	Iraq	Iraq,埃及
245	N/A	N/A	N/A	N/A	N/A	不知道	NewYork	Columbia	Columbia	Boston	Boston	不知道	不知道	Marvel	Marvel	盲生	夏洛克,盲生	不知道	不知道	丹麦	不知道	Sydney	Sydney	Poland	Poland	LosAngeles	LosAngeles	不知道	不知道	Iran	埃及
246	N/A	N/A	N/A	N/A	N/A	NewYork	NewYork,London,Tokyo,Shanghai,巴黎	NewYork	NewYork,波哥大	Washington	Washington	不知道	不知道	CaptainAmerica	CaptainAmerica	Watson	Watson	不知道	不知道	Latvia	Latvia,Austria	Canberra	Canberra,Sydney,Melbourne	Poland	Poland,Austria,德意志,捷克	Athens	Athens,里约热内卢	Egypt	Egypt,Greece,土耳其	不知道	希腊
247	N/A	N/A	N/A	N/A	N/A	London	Peking	US	US,Columbia	Cambridge	伦敦	不知道	不知道	CaptainAmerica	CaptainAmerica,星辰	Watson	Watson	蜘蛛侠	钢铁侠	不知道	不知道	Melbourne	Sydney,Melbourne	不知道	Denmark,不知道	LosAngeles	不知道	马其顿	Greece,马其顿	沙特阿拉伯	不知道
248	N/A	N/A	N/A	N/A	N/A	NewYork	London	芝加哥	不知道	Boston	Boston,Washington	GreenLantern	不知道	CaptainAmerica	不知道	Watson	卷福	Robin	Robin	不知道	不知道	Canberra	Sydney	意大利	France	不知道	不知道	不知道	不知道	Babylon	印度
249	N/A	N/A	N/A	N/A	N/A	London	London,NewYork	NewYork	Columbia,NewYork	Boston	Harvard,NewYork,旧金山	不知道	不知道	CaptainAmerica	CaptainAmerica,不知道	Watson	Watson	他还有助手？	不知道	不知道	不知道	Canberra	Canberra,Sydney,Melbourne	Poland	Poland,France	Atlanta	巴塞罗那,巴黎	Egypt	Egypt	Iraq	希腊
250	N/A	N/A	N/A	N/A	N/A	NewYork	巴黎,London	NewYork	London	不知道	不知道	DC	漫威	Marvel	DC	约翰•华生	不知道	不知道	不知道	波利尼西亚	苏丹	Canberra	Sydney,Melbourne	Poland	Austria,Germany	London	Tokyo	Egypt	土耳其	Babylon	不知道
251	N/A	N/A	N/A	N/A	N/A	Tokyo	Peking	不知道	西雅图	Cambridge	Cambridge	GreenLantern	Hulk	CaptainAmerica	CaptainAmerica	Watson	花生,李元芳	Robin	Alfred	不知道	挪威	Canberra	Sydney	Germany	France	dk	dk	不知道	土耳其	Babylon	Babylon
252	N/A	N/A	N/A	N/A	N/A	NewYork	NewYork	NewYork	NewYork	Boston	NewYork	不知道	不知道	CaptainAmerica	CaptainAmerica	Watson	Watson	不知道	不知道	不知道	不知道	Canberra	Canberra	dk	dk	汉城	不知道	dk	dk	Babylon	Babylon
253	N/A	N/A	N/A	N/A	N/A	London	Peking	NewYork	圣菲波哥大	NewYork	加州	不知道	不知道	CaptainAmerica	不知道	Watson	不知道	不知道	不知道	不知道	不知道	Canberra	Sydney	Poland	Germany	Tokyo	US,法国	不知道	不知道	Babylon	Babylon
254	N/A	N/A	N/A	N/A	N/A	London	Peking,Shanghai	NewYork	旧金山,加州	加利福尼亚	NewYork	Hulk	Batman	CaptainAmerica	无	不知道	不清楚	…不知道	…我知道他们肯定知道	UK	新西兰	Sydney	Canberra	Germany	维也纳	LosAngeles	汉城	马其顿	Greece	不知道	不知道
255	N/A	N/A	N/A	N/A	N/A	Peking	NewYork	Columbia	洛杉矶	Boston	Boston	超人	Batman	CaptainAmerica	CaptainAmerica	Watson	Watson	Robin	Robin	不知道	开曼群岛	Canberra	Melbourne,Sydney	Poland	Germany,Austria	Atlanta	不知道	巴西	US	不知道	不知道
256	N/A	N/A	N/A	N/A	N/A	新德里	不知道	Washington	Washington	Boston	Boston	GreenLantern	GreenLantern	CaptainAmerica	CaptainAmerica	Watson	Watson	不知道	不知道	不知道	不知道	堪萨斯	不知道	Germany	不知道	不知道	不知道	不知道	不知道	不知道	不知道
257	N/A	N/A	N/A	N/A	N/A	NewYork	NewYork,London,Tokyo,Bombay,巴黎	NewYork	NewYork	NewYork	Washington	Hulk	Hulk	CaptainAmerica	CaptainAmerica	Watson	Watson	不知道	不知道	Latvia	Austria	Canberra	Sydney,Melbourne,Canberra	Poland	沙俄,Poland	不知道	不知道	亚历山大港	亚历山大港	埃及	埃及
258	N/A	N/A	N/A	N/A	N/A	不知道	不知道	Columbia	Columbia	Cambridge	不知道	不知道	不知道	CaptainAmerica	CaptainAmerica	Watson	Watson	不知道	不知道	不知道	不知道	Sydney	Sydney	Denmark	捷克,Austria	不知道	不知道	不知道	不知道	Babylon	不知道,Babylon,古埃及
259	N/A	N/A	N/A	N/A	N/A	Tokyo	London	NewYork	NewYork	Boston	Boston	GreenLantern	GreenLantern	CaptainAmerica	CaptainAmerica	Watson	Watson	Robin	猫女	Austria	Austria,匈牙利	Canberra	Canberra	Poland	Poland	LosAngeles	LosAngeles,Atlanta	Egypt	Egypt,Greece	Babylon	不知道
260	N/A	N/A	N/A	N/A	N/A	NewYork	Peking,Shanghai,NewYork,新德里	NewYork	NewYork	不知道	不知道	不知道	不知道	CaptainAmerica	CaptainAmerica	Watson	Watson	不知道	不知道	不知道	不知道	Canberra	Canberra,Sydney	Poland	Poland,France,Germany,Austria	US	US	不知道	不知道	Babylon	不知道
261	N/A	N/A	N/A	N/A	N/A	不知道	不知道	不知道	不知道	Harvard	Harvard	不知道	不知道	CaptainAmerica	CaptainAmerica	Watson	Watson	不知道	不知道	不知道	不知道	Sydney	Sydney	Poland	Poland	汉城	不知道	不知道	不知道	Iraq	埃及,阿联酋,沙特阿拉伯
262	N/A	N/A	N/A	N/A	N/A	不知道	London,NewYork	不知道	Columbia	Harvard	Harvard	绿灯	绿灯	CaptainAmerica	CaptainAmerica	Watson	Watson	Alfred	不知道	不知道	不知道	Canberra	Canberra	Poland	Poland	Athens	Athens	阿根廷…？	不知道	古印度	埃及
263	N/A	N/A	N/A	N/A	N/A	Peking	Peking	Columbia	Columbia	不知道	不知道,Washington,NewYork	GreenLantern	GreenLantern	CaptainAmerica	CaptainAmerica	Watson	花生	不知道	不知道	斯洛文尼亚	斯洛文尼亚	Canberra	Canberra	France	France	Athens	不知道,悉尼	US	US	Iraq	Iraq
264	N/A	N/A	N/A	N/A	N/A	China	China	不知道	不知道,Washington,Columbia,NewYork	Washington	Washington	不知道	不知道,蚁人,Batman	CaptainAmerica	CaptainAmerica,不知道,Ironman	Watson	Watson,花生	不知道	不知道	不知道	不知道	不知道	不知道,Sydney,Melbourne	Germany	Germany,不知道,France	不知道	不知道	古罗马	古巴比伦,古罗马,不知道	孟加拉国	不知道
265	N/A	N/A	N/A	N/A	N/A	不知道	不知道	不知道	不知道	不知道	不知道	不知道	正确的那个答案	CaptainAmerica	CaptainAmerica,不知道	Watson	Watson	不知道	不知道	不知道	不知道	Canberra	Sydney,,Canberra	Austria	Austria,Germany	LosAngeles	不知道	Egypt	Egypt,不知道	不知道	不知道
266	N/A	N/A	N/A	N/A	N/A	不知道	不知道	不知道	不知道	Boston	Cambridge,NewYork	不知道	不知道	CaptainAmerica	不知道	Watson	不知道	不知道	不知道	不知道	不知道	Melbourne	不知道	Poland	不知道	LosAngeles	莫斯科,首尔	不知道	不知道	Babylon	Babylon
267	N/A	N/A	N/A	N/A	N/A	NewYork	London,Tokyo	NewYork	Columbia	Washington	NewYork	雷神	Hulk	CaptainAmerica	超人	Watson	花生	不知道	不知道	Latvia	丹麦,泰国	Canberra	Sydney,Melbourne	Poland	Germany,Austria	Athens	Athens	Egypt	以色列,沙特阿拉伯,阿联酋	Babylon	不知道
